,RegionID,SizeRank,RegionName,RegionType,StateName,Date,Value
2712,394982,27,"Pittsburgh, PA",msa,PA,2000-04-30,85589.94662077655
2754,394318,70,"Allentown, PA",msa,PA,2000-04-30,117378.58116620644
2781,394666,99,"Harrisburg, PA",msa,PA,2000-04-30,116890.95410847064
2783,395075,101,"Scranton, PA",msa,PA,2000-04-30,85528.20549470307
2804,395244,122,"York, PA",msa,PA,2000-04-30,118533.996159848
2810,395015,128,"Reading, PA",msa,PA,2000-04-30,104254.22569806396
2865,394572,184,"Erie, PA",msa,PA,2000-04-30,88237.23491936615
3015,394321,340,"Altoona, PA",msa,PA,2000-04-30,87511.50734841486
3033,395225,359,"Williamsport, PA",msa,PA,2000-04-30,100900.9456011622
3056,394630,382,"Gettysburg, PA",msa,PA,2000-04-30,101044.03106886183
3103,394847,431,"Meadville, PA",msa,PA,2000-04-30,58902.55143448004
3111,394395,439,"Bloomsburg, PA",msa,PA,2000-04-30,105771.03086695969
3122,394541,450,"DuBois, PA",msa,PA,2000-04-30,55878.83761726745
3264,394933,597,"Oil City, PA",msa,PA,2000-04-30,49018.85910528857
3587,394974,7,"Philadelphia, PA",msa,PA,2000-05-31,122820.90352759884
3607,394982,27,"Pittsburgh, PA",msa,PA,2000-05-31,85932.49833592666
3649,394318,70,"Allentown, PA",msa,PA,2000-05-31,118286.2940051211
3676,394666,99,"Harrisburg, PA",msa,PA,2000-05-31,117252.89644782971
3678,395075,101,"Scranton, PA",msa,PA,2000-05-31,85474.78495566254
3699,395244,122,"York, PA",msa,PA,2000-05-31,118852.63702725113
3705,395015,128,"Reading, PA",msa,PA,2000-05-31,104463.656908646
3760,394572,184,"Erie, PA",msa,PA,2000-05-31,88570.39460387932
3910,394321,340,"Altoona, PA",msa,PA,2000-05-31,87841.75828100415
3928,395225,359,"Williamsport, PA",msa,PA,2000-05-31,101414.61037044918
3951,394630,382,"Gettysburg, PA",msa,PA,2000-05-31,101448.7206880174
3998,394847,431,"Meadville, PA",msa,PA,2000-05-31,58945.47094101608
