city,state_id,state_name,county_name,lat,lng,population,density
Earlysville,VA,Virginia,Albemarle,38.1579,-78.4688,1182,148.9
Bevil Oaks,TX,Texas,Jefferson,30.1517,-94.2711,1181,223.6
Maxwell,CA,California,Colusa,39.2771,-122.1946,1181,212.1
Juncal,PR,Puerto Rico,San Sebastián,18.3125,-66.9219,1181,1035.3
Ballplay,AL,Alabama,Etowah,34.0179,-85.7852,1181,19.4
Plains,MT,Montana,Sanders,47.4602,-114.8842,1181,741.9
Toledo,IL,Illinois,Cumberland,39.2728,-88.2419,1181,513.4
Candlewood Lake,OH,Ohio,Morrow,40.6214,-82.7764,1181,197.5
Birch Run,MI,Michigan,Saginaw,43.2503,-83.7911,1180,241.9
Skagway,AK,Alaska,Skagway,59.4566,-135.2927,1179,48.2
La Harpe,IL,Illinois,Hancock,40.5848,-90.9695,1179,333.8
Leupp,AZ,Arizona,Coconino,35.2966,-111.0028,1179,33.6
Royalton,MN,Minnesota,Morrison,45.8302,-94.2931,1179,226.9
Fayette,IA,Iowa,Fayette,42.8417,-91.8038,1179,304
Yale,OK,Oklahoma,Payne,36.1151,-96.7011,1179,497
Wabasso,FL,Florida,Indian River,27.7486,-80.4421,1179,123.5
Scotland,PA,Pennsylvania,Franklin,39.9697,-77.5844,1179,552.4
Sand Lake,MI,Michigan,Iosco,44.3276,-83.6711,1178,30.4
Ak-Chin Village,AZ,Arizona,Pinal,33.0197,-112.0808,1178,43.2
Claysburg,PA,Pennsylvania,Blair,40.2915,-78.4514,1178,340.2
Foresthill,CA,California,Placer,39.0053,-120.8314,1178,40.7
Stillman Valley,IL,Illinois,Ogle,42.1055,-89.1791,1177,797
Fayette,OH,Ohio,Fulton,41.6727,-84.3284,1177,466.4
Concord,MI,Michigan,Jackson,42.1762,-84.6456,1177,304.3
Pen Mar,PA,Pennsylvania,Franklin,39.7243,-77.5151,1177,615.3
Wellsville,MO,Missouri,Montgomery,39.0734,-91.5692,1177,295.7
Darien Downtown,CT,Connecticut,Western Connecticut,41.0768,-73.4699,1177,576.7
Muhlenberg Park,PA,Pennsylvania,Berks,40.3868,-75.9398,1176,783.3
Independence,VA,Virginia,Grayson,36.6254,-81.1511,1176,193.8
New London,TX,Texas,Rusk,32.2687,-94.9296,1176,52.8
Gratton,VA,Virginia,Tazewell,37.1351,-81.4212,1176,83.6
Elm Creek,NE,Nebraska,Buffalo,40.7201,-99.3755,1176,652.9
Osceola Mills,PA,Pennsylvania,Clearfield,40.8525,-78.2699,1176,1410.6
Morgan Hill,PA,Pennsylvania,Northampton,40.6665,-75.2041,1176,605.1
Briggs,OK,Oklahoma,Cherokee,35.9202,-94.8825,1175,53.7
March ARB,CA,California,Riverside,33.8888,-117.2776,1175,38
Lyons,WI,Wisconsin,Walworth,42.6485,-88.3599,1175,364.3
Cool Valley,MO,Missouri,St. Louis,38.7251,-90.3058,1175,989.5
Delevan,NY,New York,Cattaraugus,42.4912,-78.4796,1175,456.4
Lyons,OR,Oregon,Linn,44.7777,-122.6098,1175,521.7
Green Harbor,MA,Massachusetts,Plymouth,42.068,-70.6499,1174,659.8
Atglen,PA,Pennsylvania,Chester,39.9473,-75.9754,1174,518.3
Caraway,AR,Arkansas,Craighead,35.7597,-90.3222,1174,196.7
Fort Ashby,WV,West Virginia,Mineral,39.4973,-78.7646,1174,136.9
